Baylor Scott & White Emergency Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax ID: 26-2978009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 1/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charge Code,ChargeDescription,Revenue Code,CPT Code, Charge , Self Pay Median Charge , Minimum Reimbursment , Maximum Reimbursment , Payer , Aetna , Aetna , American Health Advantage , Ambetter , BCBS , BCBS , BCBS , BCBS , BCBS , Cigna , Cigna , Cigna , CorVel , CorVel , Employers Health Network , HealthSmart , HealthSmart , Humana , Humana , Hunt Regional , Imagine Health , Midland Memorial , MultiPlan , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Sedgwick , Superior , UMH , United , United , United , VA/Triwest , WellMed 
427100003,"Cannula, nasal",271,N/A,6.00,2.40,2.94,5.10,,3.30,**,**,**,**,**,**,**,**,3.48,2.94,**,**,5.10,3.30,4.50,4.50,4.20,**,3.30,3.18,4.08,4.50,**,**,**,3.12,2.94,3.30,3.48,**,**,3.48,4.20,**,3.78,**,**
427100004,Variable concentration mask,271,N/A,40.00,16.00,19.60,34.00,,22.00,**,**,**,**,**,**,**,**,23.20,19.60,**,**,34.00,22.00,30.00,30.00,28.00,**,22.00,21.20,27.20,30.00,**,**,**,20.80,19.60,22.00,23.20,**,**,23.20,28.00,**,25.20,**,**
427100005,Occlusive eye patch,271,N/A,9.00,3.60,4.41,7.65,,4.95,**,**,**,**,**,**,**,**,5.22,4.41,**,**,7.65,4.95,6.75,6.75,6.30,**,4.95,4.77,6.12,6.75,**,**,**,4.68,4.41,4.95,5.22,**,**,5.22,6.30,**,5.67,**,**
427100008,Nebulizer administration set,271,N/A,105.00,42.00,51.45,89.25,,57.75,**,**,**,**,**,**,**,**,60.90,51.45,**,**,89.25,57.75,78.75,78.75,73.50,**,57.75,55.65,71.40,78.75,**,**,**,54.60,51.45,57.75,60.90,**,**,60.90,73.50,**,66.15,**,**
427100009,Aerosol mask used w nebulize,271,N/A,19.00,7.60,9.31,16.15,,10.45,**,**,**,**,**,**,**,**,11.02,9.31,**,**,16.15,10.45,14.25,14.25,13.30,**,10.45,10.07,12.92,14.25,**,**,**,9.88,9.31,10.45,11.02,**,**,11.02,13.30,**,11.97,**,**
427100010,Post Op Shoe,271,N/A,48.00,19.20,23.52,40.80,,26.40,**,**,**,**,**,**,**,**,27.84,23.52,**,**,40.80,26.40,36.00,36.00,33.60,**,26.40,25.44,32.64,36.00,**,**,**,24.96,23.52,26.40,27.84,**,**,27.84,33.60,**,30.24,**,**
427100011,Spirometer (Incentive),271,N/A,195.00,78.00,95.55,165.75,,107.25,**,**,**,**,**,**,**,**,113.10,95.55,**,**,165.75,107.25,146.25,146.25,136.50,**,107.25,103.35,132.60,146.25,**,**,**,101.40,95.55,107.25,113.10,**,**,113.10,136.50,**,122.85,**,**
427100012,Crutch underarm pair no wood,271,N/A,138.00,55.20,67.62,117.30,,75.90,**,**,**,**,**,**,**,**,80.04,67.62,**,**,117.30,75.90,103.50,103.50,96.60,**,75.90,73.14,93.84,103.50,**,**,**,71.76,67.62,75.90,80.04,**,**,80.04,96.60,**,86.94,**,**
427100013,Heavy duty wheeled walker,271,N/A,264.00,105.60,129.36,224.40,,145.20,**,**,**,**,**,**,**,**,153.12,129.36,**,**,224.40,145.20,198.00,198.00,184.80,**,145.20,139.92,179.52,198.00,**,**,**,137.28,129.36,145.20,153.12,**,**,153.12,184.80,**,166.32,**,**
427100014,Slings; arm,271,N/A,33.00,13.20,16.17,28.05,,18.15,**,**,**,**,**,**,**,**,19.14,16.17,**,**,28.05,18.15,24.75,24.75,23.10,**,18.15,17.49,22.44,24.75,**,**,**,17.16,16.17,18.15,19.14,**,**,19.14,23.10,**,20.79,**,**
427100015,"Surgical boot/shoe, each",271,N/A,44.00,17.60,21.56,37.40,,24.20,**,**,**,**,**,**,**,**,25.52,21.56,**,**,37.40,24.20,33.00,33.00,30.80,**,24.20,23.32,29.92,33.00,**,**,**,22.88,21.56,24.20,25.52,**,**,25.52,30.80,**,27.72,**,**
427200001,20+ cc syringe only,272,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
427200002,"16G IV Cath, needle, sterile",272,N/A,32.00,12.80,15.68,27.20,,17.60,**,**,**,**,**,**,**,**,18.56,15.68,**,**,27.20,17.60,24.00,24.00,22.40,**,17.60,16.96,21.76,24.00,**,**,**,16.64,15.68,17.60,18.56,**,**,18.56,22.40,**,20.16,**,**
427200003,"18G IV Cath, needle, sterile",272,N/A,32.00,12.80,15.68,27.20,,17.60,**,**,**,**,**,**,**,**,18.56,15.68,**,**,27.20,17.60,24.00,24.00,22.40,**,17.60,16.96,21.76,24.00,**,**,**,16.64,15.68,17.60,18.56,**,**,18.56,22.40,**,20.16,**,**
427200004,"20G IV Cath, needle, sterile",272,N/A,32.00,12.80,15.68,27.20,,17.60,**,**,**,**,**,**,**,**,18.56,15.68,**,**,27.20,17.60,24.00,24.00,22.40,**,17.60,16.96,21.76,24.00,**,**,**,16.64,15.68,17.60,18.56,**,**,18.56,22.40,**,20.16,**,**
427200005,"22G IV Cath, needle, sterile",272,N/A,32.00,12.80,15.68,27.20,,17.60,**,**,**,**,**,**,**,**,18.56,15.68,**,**,27.20,17.60,24.00,24.00,22.40,**,17.60,16.96,21.76,24.00,**,**,**,16.64,15.68,17.60,18.56,**,**,18.56,22.40,**,20.16,**,**
427200006,"Foly w/bag, indwl cath,2way ltx",272,N/A,85.00,34.00,41.65,72.25,,46.75,**,**,**,**,**,**,**,**,49.30,41.65,**,**,72.25,46.75,63.75,63.75,59.50,**,46.75,45.05,57.80,63.75,**,**,**,44.20,41.65,46.75,49.30,**,**,49.30,59.50,**,53.55,**,**
427200007,"Foly w/bag,indwl cath,3way  irr",272,N/A,116.00,46.40,56.84,98.60,,63.80,**,**,**,**,**,**,**,**,67.28,56.84,**,**,98.60,63.80,87.00,87.00,81.20,**,63.80,61.48,78.88,87.00,**,**,**,60.32,56.84,63.80,67.28,**,**,67.28,81.20,**,73.08,**,**
427200008,Irrigation syringe each,272,N/A,13.00,5.20,6.37,11.05,,7.15,**,**,**,**,**,**,**,**,7.54,6.37,**,**,11.05,7.15,9.75,9.75,9.10,**,7.15,6.89,8.84,9.75,**,**,**,6.76,6.37,7.15,7.54,**,**,7.54,9.10,**,8.19,**,**
427200009,Female ext urinary coll pouch,272,N/A,36.00,14.40,17.64,30.60,,19.80,**,**,**,**,**,**,**,**,20.88,17.64,**,**,30.60,19.80,27.00,27.00,25.20,**,19.80,19.08,24.48,27.00,**,**,**,18.72,17.64,19.80,20.88,**,**,20.88,25.20,**,22.68,**,**
427200010,Dental Supplies - Sterile,272,N/A,109.00,43.60,53.41,92.65,,59.95,**,**,**,**,**,**,**,**,63.22,53.41,**,**,92.65,59.95,81.75,81.75,76.30,**,59.95,57.77,74.12,81.75,**,**,**,56.68,53.41,59.95,63.22,**,**,63.22,76.30,**,68.67,**,**
427200011,Tray for EENT exam,272,N/A,106.00,42.40,51.94,90.10,,58.30,**,**,**,**,**,**,**,**,61.48,51.94,**,**,90.10,58.30,79.50,79.50,74.20,**,58.30,56.18,72.08,79.50,**,**,**,55.12,51.94,58.30,61.48,**,**,61.48,74.20,**,66.78,**,**
427200012,Chest tube surgical tray,272,N/A,733.00,293.20,359.17,623.05,,403.15,**,**,**,**,**,**,**,**,425.14,359.17,**,**,623.05,403.15,549.75,549.75,513.10,**,403.15,388.49,498.44,549.75,**,**,**,381.16,359.17,403.15,425.14,**,**,425.14,513.10,**,461.79,**,**
427200013,Surgical tray for lumbar puncture,272,N/A,92.00,36.80,45.08,78.20,,50.60,**,**,**,**,**,**,**,**,53.36,45.08,**,**,78.20,50.60,69.00,69.00,64.40,**,50.60,48.76,62.56,69.00,**,**,**,47.84,45.08,50.60,53.36,**,**,53.36,64.40,**,57.96,**,**
427200014,Surg/Suture Tray,272,N/A,132.00,52.80,64.68,112.20,,72.60,**,**,**,**,**,**,**,**,76.56,64.68,**,**,112.20,72.60,99.00,99.00,92.40,**,72.60,69.96,89.76,99.00,**,**,**,68.64,64.68,72.60,76.56,**,**,76.56,92.40,**,83.16,**,**
427200015,"Silicone gel sheet, each",272,N/A,10.00,4.00,4.90,8.50,,5.50,**,**,**,**,**,**,**,**,5.80,4.90,**,**,8.50,5.50,7.50,7.50,7.00,**,5.50,5.30,6.80,7.50,**,**,**,5.20,4.90,5.50,5.80,**,**,5.80,7.00,**,6.30,**,**
427200016,Non-sterile gauze<=16 sq in,272,N/A,27.00,10.80,13.23,22.95,,14.85,**,**,**,**,**,**,**,**,15.66,13.23,**,**,22.95,14.85,20.25,20.25,18.90,**,14.85,14.31,18.36,20.25,**,**,**,14.04,13.23,14.85,15.66,**,**,15.66,18.90,**,17.01,**,**
427200017,Non-sterile gauze>16 sq in,272,N/A,9.00,3.60,4.41,7.65,,4.95,**,**,**,**,**,**,**,**,5.22,4.41,**,**,7.65,4.95,6.75,6.75,6.30,**,4.95,4.77,6.12,6.75,**,**,**,4.68,4.41,4.95,5.22,**,**,5.22,6.30,**,5.67,**,**
427200018,Gauze <= 16 sq in w/border,272,N/A,22.00,8.80,10.78,18.70,,12.10,**,**,**,**,**,**,**,**,12.76,10.78,**,**,18.70,12.10,16.50,16.50,15.40,**,12.10,11.66,14.96,16.50,**,**,**,11.44,10.78,12.10,12.76,**,**,12.76,15.40,**,13.86,**,**
427200019,Gauze <=16 in no w/sal w/o b,272,N/A,19.00,7.60,9.31,16.15,,10.45,**,**,**,**,**,**,**,**,11.02,9.31,**,**,16.15,10.45,14.25,14.25,13.30,**,10.45,10.07,12.92,14.25,**,**,**,9.88,9.31,10.45,11.02,**,**,11.02,13.30,**,11.97,**,**
427200020,Wound cleanser any type/size,272,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
427200021,Iodoform Guaze,272,N/A,19.00,7.60,9.31,16.15,,10.45,**,**,**,**,**,**,**,**,11.02,9.31,**,**,16.15,10.45,14.25,14.25,13.30,**,10.45,10.07,12.92,14.25,**,**,**,9.88,9.31,10.45,11.02,**,**,11.02,13.30,**,11.97,**,**
427200022,Ace bandage width <3 in/yd,272,N/A,33.00,13.20,16.17,28.05,,18.15,**,**,**,**,**,**,**,**,19.14,16.17,**,**,28.05,18.15,24.75,24.75,23.10,**,18.15,17.49,22.44,24.75,**,**,**,17.16,16.17,18.15,19.14,**,**,19.14,23.10,**,20.79,**,**
427200023,Ace bandage width >=3>5 in/yd,272,N/A,33.00,13.20,16.17,28.05,,18.15,**,**,**,**,**,**,**,**,19.14,16.17,**,**,28.05,18.15,24.75,24.75,23.10,**,18.15,17.49,22.44,24.75,**,**,**,17.16,16.17,18.15,19.14,**,**,19.14,23.10,**,20.79,**,**
427200024,Ace bandage width >=5 in/yd,272,N/A,33.00,13.20,16.17,28.05,,18.15,**,**,**,**,**,**,**,**,19.14,16.17,**,**,28.05,18.15,24.75,24.75,23.10,**,18.15,17.49,22.44,24.75,**,**,**,17.16,16.17,18.15,19.14,**,**,19.14,23.10,**,20.79,**,**
427200025,Tubular dressing,272,N/A,17.00,6.80,8.33,14.45,,9.35,**,**,**,**,**,**,**,**,9.86,8.33,**,**,14.45,9.35,12.75,12.75,11.90,**,9.35,9.01,11.56,12.75,**,**,**,8.84,8.33,9.35,9.86,**,**,9.86,11.90,**,10.71,**,**
427200026,IV tubing exten set Dial-A-Flow,272,N/A,107.00,42.80,52.43,90.95,,58.85,**,**,**,**,**,**,**,**,62.06,52.43,**,**,90.95,58.85,80.25,80.25,74.90,**,58.85,56.71,72.76,80.25,**,**,**,55.64,52.43,58.85,62.06,**,**,62.06,74.90,**,67.41,**,**
427200028,"24G IV Cath, needle, sterile",272,N/A,840.00,336.00,411.60,714.00,,462.00,**,**,**,**,**,**,**,**,487.20,411.60,**,**,714.00,462.00,630.00,630.00,588.00,**,462.00,445.20,571.20,630.00,**,**,**,436.80,411.60,462.00,487.20,**,**,487.20,588.00,**,529.20,**,**
427200029,Cath w/drainage 2-way latex,272,N/A,85.00,34.00,41.65,72.25,,46.75,**,**,**,**,**,**,**,**,49.30,41.65,**,**,72.25,46.75,63.75,63.75,59.50,**,46.75,45.05,57.80,63.75,**,**,**,44.20,41.65,46.75,49.30,**,**,49.30,59.50,**,53.55,**,**
427200031,Sterile water 20 ml inj,272,N/A,38.00,15.20,18.62,32.30,,20.90,**,**,**,**,**,**,**,**,22.04,18.62,**,**,32.30,20.90,28.50,28.50,26.60,**,20.90,20.14,25.84,28.50,**,**,**,19.76,18.62,20.90,22.04,**,**,22.04,26.60,**,23.94,**,**
427200033,Sterile Water Diluent 100 mL inj,272,N/A,19.00,7.60,9.31,16.15,,10.45,**,**,**,**,**,**,**,**,11.02,9.31,**,**,16.15,10.45,14.25,14.25,13.30,**,10.45,10.07,12.92,14.25,**,**,**,9.88,9.31,10.45,11.02,**,**,11.02,13.30,**,11.97,**,**
427400002,Urinary leg bag; latex,270,N/A,58.00,23.20,28.42,49.30,,31.90,**,**,**,**,**,**,**,**,33.64,28.42,**,**,49.30,31.90,43.50,43.50,40.60,**,31.90,30.74,39.44,43.50,**,**,**,30.16,28.42,31.90,33.64,**,**,33.64,40.60,**,36.54,**,**
427400003,Ankle Stir-up Pre-fab gel/pneumatic,270,N/A,57.00,22.80,27.93,48.45,,31.35,**,**,**,**,**,**,**,**,33.06,27.93,**,**,48.45,31.35,42.75,42.75,39.90,**,31.35,30.21,38.76,42.75,**,**,**,29.64,27.93,31.35,33.06,**,**,33.06,39.90,**,35.91,**,**
427400004,Cervic Collar Thermoplast 2 pc,270,N/A,45.00,18.00,22.05,38.25,,24.75,**,**,**,**,**,**,**,**,26.10,22.05,**,**,38.25,24.75,33.75,33.75,31.50,**,24.75,23.85,30.60,33.75,**,**,**,23.40,22.05,24.75,26.10,**,**,26.10,31.50,**,28.35,**,**
427400009,"WHFO, rigid w/o joints",270,N/A,31.00,12.40,15.19,26.35,,17.05,**,**,**,**,**,**,**,**,17.98,15.19,**,**,26.35,17.05,23.25,23.25,21.70,**,17.05,16.43,21.08,23.25,**,**,**,16.12,15.19,17.05,17.98,**,**,17.98,21.70,**,19.53,**,**
427800001,Cath impl vasc access portal,278,C1751,802.00,320.80,392.98,681.70,,441.10,**,**,**,**,**,**,**,**,465.16,392.98,**,**,681.70,561.40,601.50,601.50,561.40,**,641.60,425.06,545.36,601.50,**,**,**,417.04,392.98,441.10,465.16,**,**,465.16,561.40,**,505.26,**,**
427800002,Central Line Triple Lumen,278,C1751,337.00,134.80,165.13,286.45,,185.35,**,**,**,**,**,**,**,**,195.46,165.13,**,**,286.45,235.90,252.75,252.75,235.90,**,269.60,178.61,229.16,252.75,**,**,**,175.24,165.13,185.35,195.46,**,**,195.46,235.90,**,212.31,**,**
430000001,Basic Metabolic Panel,300,80048,269.00,107.60,131.81,228.65,,147.95,**,**,**,**,**,**,**,**,156.02,131.81,**,**,228.65,147.95,201.75,201.75,188.30,**,147.95,142.57,182.92,201.75,**,**,**,139.88,131.81,147.95,156.02,**,**,156.02,188.30,**,169.47,**,**
430000002,Electrolyte panel,300,80051,269.00,107.60,131.81,228.65,,147.95,**,**,**,**,**,**,**,**,156.02,131.81,**,**,228.65,147.95,201.75,201.75,188.30,**,147.95,142.57,182.92,201.75,**,**,**,139.88,131.81,147.95,156.02,**,**,156.02,188.30,**,169.47,**,**
430000003,Comprehensive metabolic panel,300,80053,388.00,155.20,190.12,329.80,,213.40,**,**,**,**,**,**,**,**,225.04,190.12,**,**,329.80,213.40,291.00,291.00,271.60,**,213.40,205.64,263.84,291.00,**,**,**,201.76,190.12,213.40,225.04,**,**,225.04,271.60,**,244.44,**,**
430000004,Lipid panel,300,80061,96.00,38.40,13.39,81.60,,52.80,13.39,14.06,25.04,**,**,**,**,**,55.68,47.04,14.06,25.98,81.60,52.80,72.00,72.00,67.20,13.39,52.80,50.88,65.28,72.00,**,22.09,13.39,49.92,47.04,52.80,55.68,30.80,14.06,55.68,67.20,13.39,60.48,13.39,13.39
430000005,Acute hepatitis panel,300,80074,615.00,246.00,301.35,522.75,,338.25,**,**,**,**,**,**,**,**,356.70,301.35,**,**,522.75,338.25,461.25,461.25,430.50,**,338.25,325.95,418.20,461.25,**,**,**,319.80,301.35,338.25,356.70,**,**,356.70,430.50,**,387.45,**,**
430000006,Hepatic Function Panel,300,80076,473.00,189.20,231.77,402.05,,260.15,**,**,**,**,**,**,**,**,274.34,231.77,**,**,402.05,260.15,354.75,354.75,331.10,**,260.15,250.69,321.64,354.75,**,**,**,245.96,231.77,260.15,274.34,**,**,274.34,331.10,**,297.99,**,**
430000007,Drug screen qualitate/multi,300,80305,446.00,178.40,218.54,379.10,,245.30,**,**,**,**,**,**,**,**,258.68,218.54,**,**,379.10,245.30,334.50,334.50,312.20,**,245.30,236.38,303.28,334.50,**,**,**,231.92,218.54,245.30,258.68,**,**,258.68,312.20,**,280.98,**,**
430000009,Digoxin,300,80162,248.00,99.20,121.52,210.80,,136.40,**,**,**,**,**,**,**,**,143.84,121.52,**,**,210.80,136.40,186.00,186.00,173.60,**,136.40,131.44,168.64,186.00,**,**,**,128.96,121.52,136.40,143.84,**,**,143.84,173.60,**,156.24,**,**
430000010,Assay dipropylacetic acid,300,80164,320.00,128.00,156.80,272.00,,176.00,**,**,**,**,**,**,**,**,185.60,156.80,**,**,272.00,176.00,240.00,240.00,224.00,**,176.00,169.60,217.60,240.00,**,**,**,166.40,156.80,176.00,185.60,**,**,185.60,224.00,**,201.60,**,**
430000011,Lithium,300,80178,320.00,128.00,156.80,272.00,,176.00,**,**,**,**,**,**,**,**,185.60,156.80,**,**,272.00,176.00,240.00,240.00,224.00,**,176.00,169.60,217.60,240.00,**,**,**,166.40,156.80,176.00,185.60,**,**,185.60,224.00,**,201.60,**,**
430000012,Phenytoin; total,300,80185,427.00,170.80,209.23,362.95,,234.85,**,**,**,**,**,**,**,**,247.66,209.23,**,**,362.95,234.85,320.25,320.25,298.90,**,234.85,226.31,290.36,320.25,**,**,**,222.04,209.23,234.85,247.66,**,**,247.66,298.90,**,269.01,**,**
430000014,Theophylline,300,80198,346.00,138.40,169.54,294.10,,190.30,**,**,**,**,**,**,**,**,200.68,169.54,**,**,294.10,190.30,259.50,259.50,242.20,**,190.30,183.38,235.28,259.50,**,**,**,179.92,169.54,190.30,200.68,**,**,200.68,242.20,**,217.98,**,**
430000015,Vancomycin,300,80202,248.00,99.20,121.52,210.80,,136.40,**,**,**,**,**,**,**,**,143.84,121.52,**,**,210.80,136.40,186.00,186.00,173.60,**,136.40,131.44,168.64,186.00,**,**,**,128.96,121.52,136.40,143.84,**,**,143.84,173.60,**,156.24,**,**
430000016,Urinalysis auto w/scope,300,81001,60.00,24.00,29.40,51.00,,33.00,**,**,**,**,**,**,**,**,34.80,29.40,**,**,51.00,33.00,45.00,45.00,42.00,**,33.00,31.80,40.80,45.00,**,**,**,31.20,29.40,33.00,34.80,**,**,34.80,42.00,**,37.80,**,**
430000017,Urinalysis auto w/o scope,300,81003,134.00,53.60,65.66,113.90,,73.70,**,**,**,**,**,**,**,**,77.72,65.66,**,**,113.90,73.70,100.50,100.50,93.80,**,73.70,71.02,91.12,100.50,**,**,**,69.68,65.66,73.70,77.72,**,**,77.72,93.80,**,84.42,**,**
430000018,Microscopic exam of urine,300,81015,171.00,68.40,83.79,145.35,,94.05,**,**,**,**,**,**,**,**,99.18,83.79,**,**,145.35,94.05,128.25,128.25,119.70,**,94.05,90.63,116.28,128.25,**,**,**,88.92,83.79,94.05,99.18,**,**,99.18,119.70,**,107.73,**,**
430000019,Urine pregnancy test,300,81025,49.00,19.60,24.01,41.65,,26.95,**,**,**,**,**,**,**,**,28.42,24.01,**,**,41.65,26.95,36.75,36.75,34.30,**,26.95,25.97,33.32,36.75,**,**,**,25.48,24.01,26.95,28.42,**,**,28.42,34.30,**,30.87,**,**
430000021,Test for acetone/ketones,300,82009,256.00,102.40,125.44,217.60,,140.80,**,**,**,**,**,**,**,**,148.48,125.44,**,**,217.60,140.80,192.00,192.00,179.20,**,140.80,135.68,174.08,192.00,**,**,**,133.12,125.44,140.80,148.48,**,**,148.48,179.20,**,161.28,**,**
430000022,Acetone assay,300,82010,178.00,71.20,87.22,151.30,,97.90,**,**,**,**,**,**,**,**,103.24,87.22,**,**,151.30,97.90,133.50,133.50,124.60,**,97.90,94.34,121.04,133.50,**,**,**,92.56,87.22,97.90,103.24,**,**,103.24,124.60,**,112.14,**,**
430000023,Assay of acth,300,82024,716.00,286.40,350.84,608.60,,393.80,**,**,**,**,**,**,**,**,415.28,350.84,**,**,608.60,393.80,537.00,537.00,501.20,**,393.80,379.48,486.88,537.00,**,**,**,372.32,350.84,393.80,415.28,**,**,415.28,501.20,**,451.08,**,**
430000024,Microalbumin quantitative,300,82043,214.00,85.60,104.86,181.90,,117.70,**,**,**,**,**,**,**,**,124.12,104.86,**,**,181.90,117.70,160.50,160.50,149.80,**,117.70,113.42,145.52,160.50,**,**,**,111.28,104.86,117.70,124.12,**,**,124.12,149.80,**,134.82,**,**
430000026,Aldosterone,300,82088,756.00,302.40,370.44,642.60,,415.80,**,**,**,**,**,**,**,**,438.48,370.44,**,**,642.60,415.80,567.00,567.00,529.20,**,415.80,400.68,514.08,567.00,**,**,**,393.12,370.44,415.80,438.48,**,**,438.48,529.20,**,476.28,**,**
430000027,Ammonia,300,82140,267.00,106.80,130.83,226.95,,146.85,**,**,**,**,**,**,**,**,154.86,130.83,**,**,226.95,146.85,200.25,200.25,186.90,**,146.85,141.51,181.56,200.25,**,**,**,138.84,130.83,146.85,154.86,**,**,154.86,186.90,**,168.21,**,**
430000028,Amylase,300,82150,473.00,189.20,231.77,402.05,,260.15,**,**,**,**,**,**,**,**,274.34,231.77,**,**,402.05,260.15,354.75,354.75,331.10,**,260.15,250.69,321.64,354.75,**,**,**,245.96,231.77,260.15,274.34,**,**,274.34,331.10,**,297.99,**,**
430000029,Bilirubin; total,300,82247,122.00,48.80,59.78,103.70,,67.10,**,**,**,**,**,**,**,**,70.76,59.78,**,**,103.70,67.10,91.50,91.50,85.40,**,67.10,64.66,82.96,91.50,**,**,**,63.44,59.78,67.10,70.76,**,**,70.76,85.40,**,76.86,**,**
430000030,Bilirubin; direct,300,82248,122.00,48.80,59.78,103.70,,67.10,**,**,**,**,**,**,**,**,70.76,59.78,**,**,103.70,67.10,91.50,91.50,85.40,**,67.10,64.66,82.96,91.50,**,**,**,63.44,59.78,67.10,70.76,**,**,70.76,85.40,**,76.86,**,**
430000032,Occult blood other sources,300,82271,60.00,24.00,29.40,51.00,,33.00,**,**,**,**,**,**,**,**,34.80,29.40,**,**,51.00,33.00,45.00,45.00,42.00,**,33.00,31.80,40.80,45.00,**,**,**,31.20,29.40,33.00,34.80,**,**,34.80,42.00,**,37.80,**,**
430000033,Occult bld feces 1-3 tests,300,82272,7.00,2.80,3.43,5.95,,3.85,**,**,**,**,**,**,**,**,4.06,3.43,**,**,5.95,3.85,5.25,5.25,4.90,**,3.85,3.71,4.76,5.25,**,**,**,3.64,3.43,3.85,4.06,**,**,4.06,4.90,**,4.41,**,**
430000034,Vitamin d 25 hydroxy,300,82306,486.00,194.40,238.14,413.10,,267.30,**,**,**,**,**,**,**,**,281.88,238.14,**,**,413.10,267.30,364.50,364.50,340.20,**,267.30,257.58,330.48,364.50,**,**,**,252.72,238.14,267.30,281.88,**,**,281.88,340.20,**,306.18,**,**
430000035,Calculus assay quant,300,82360,239.00,95.60,117.11,203.15,,131.45,**,**,**,**,**,**,**,**,138.62,117.11,**,**,203.15,131.45,179.25,179.25,167.30,**,131.45,126.67,162.52,179.25,**,**,**,124.28,117.11,131.45,138.62,**,**,138.62,167.30,**,150.57,**,**
430000036,Calculus spectroscopy,300,82365,214.00,85.60,104.86,181.90,,117.70,**,**,**,**,**,**,**,**,124.12,104.86,**,**,181.90,117.70,160.50,160.50,149.80,**,117.70,113.42,145.52,160.50,**,**,**,111.28,104.86,117.70,124.12,**,**,124.12,149.80,**,134.82,**,**
430000037,Assay carboxyhb quant,300,82375,256.00,102.40,125.44,217.60,,140.80,**,**,**,**,**,**,**,**,148.48,125.44,**,**,217.60,140.80,192.00,192.00,179.20,**,140.80,135.68,174.08,192.00,**,**,**,133.12,125.44,140.80,148.48,**,**,148.48,179.20,**,161.28,**,**
430000038,Carcinoembryonic antigen,300,82378,395.00,158.00,193.55,335.75,,217.25,**,**,**,**,**,**,**,**,229.10,193.55,**,**,335.75,217.25,296.25,296.25,276.50,**,217.25,209.35,268.60,296.25,**,**,**,205.40,193.55,217.25,229.10,**,**,229.10,276.50,**,248.85,**,**
430000039,Assay bld/serum cholesterol,300,82465,77.00,30.80,4.35,65.45,,42.35,4.35,4.57,8.13,**,**,**,**,**,44.66,37.73,4.57,8.44,65.45,42.35,57.75,57.75,53.90,4.35,42.35,40.81,52.36,57.75,**,7.18,4.35,40.04,37.73,42.35,44.66,10.01,4.57,44.66,53.90,4.35,48.51,4.35,4.35
430000040,Cortisol; total,300,82533,320.00,128.00,156.80,272.00,,176.00,**,**,**,**,**,**,**,**,185.60,156.80,**,**,272.00,176.00,240.00,240.00,224.00,**,176.00,169.60,217.60,240.00,**,**,**,166.40,156.80,176.00,185.60,**,**,185.60,224.00,**,201.60,**,**
430000041,Assay of ck (cpk),300,82550,265.00,106.00,129.85,225.25,,145.75,**,**,**,**,**,**,**,**,153.70,129.85,**,**,225.25,145.75,198.75,198.75,185.50,**,145.75,140.45,180.20,198.75,**,**,**,137.80,129.85,145.75,153.70,**,**,153.70,185.50,**,166.95,**,**
430000042,Creatine mb fraction,300,82553,181.00,72.40,88.69,153.85,,99.55,**,**,**,**,**,**,**,**,104.98,88.69,**,**,153.85,99.55,135.75,135.75,126.70,**,99.55,95.93,123.08,135.75,**,**,**,94.12,88.69,99.55,104.98,**,**,104.98,126.70,**,114.03,**,**
430000043,Assay of creatinine,300,82565,265.00,106.00,129.85,225.25,,145.75,**,**,**,**,**,**,**,**,153.70,129.85,**,**,225.25,145.75,198.75,198.75,185.50,**,145.75,140.45,180.20,198.75,**,**,**,137.80,129.85,145.75,153.70,**,**,153.70,185.50,**,166.95,**,**
430000044,Vitamin B-12,300,82607,143.00,57.20,70.07,121.55,,78.65,**,**,**,**,**,**,**,**,82.94,70.07,**,**,121.55,78.65,107.25,107.25,100.10,**,78.65,75.79,97.24,107.25,**,**,**,74.36,70.07,78.65,82.94,**,**,82.94,100.10,**,90.09,**,**
430000045,Enzyme cell activity,300,82657,154.00,61.60,75.46,130.90,,84.70,**,**,**,**,**,**,**,**,89.32,75.46,**,**,130.90,84.70,115.50,115.50,107.80,**,84.70,81.62,104.72,115.50,**,**,**,80.08,75.46,84.70,89.32,**,**,89.32,107.80,**,97.02,**,**
430000046,Estradiol,300,82670,171.00,68.40,83.79,145.35,,94.05,**,**,**,**,**,**,**,**,99.18,83.79,**,**,145.35,94.05,128.25,128.25,119.70,**,94.05,90.63,116.28,128.25,**,**,**,88.92,83.79,94.05,99.18,**,**,99.18,119.70,**,107.73,**,**
